TICKER	FIGI_TICKER	FIGI	TITLE	PUBLICATION_DATE	URL	SUMMARY
XOM	XOM:US	BBG000GZQ728	Exxon Mobil Backs Out of Proposed Alaska LNG Project	2016-08-26T22:14:00.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pbVplbpdJXA/exxon-mobil-backs-out-of-proposed-alaska-lng-project-20160826-00603	Exxon Mobil Backs Out of Proposed Alaska LNG Project
XOM	XOM:US	BBG000GZQ728	"Oil Prices Rise On Flat U.S. Rig Count, But Down 3% For Week"	2016-08-26T20:46:53.000+00:00	http://www.investors.com/news/crude-prices-notch-up-but-saudi-energy-minister-downplays-cap/	"Oil Prices Rise On Flat U.S. Rig Count, But Down 3% For Week"
XOM	XOM:US	BBG000GZQ728	[$$] State AGs Want a Double Standard on Climate	2016-08-26T20:44:09.000+00:00	http://www.wsj.com/articles/state-ags-want-a-double-standard-on-climate-1472244246?mod=yahoo_hs	[$$] State AGs Want a Double Standard on Climate
XOM	XOM:US	BBG000GZQ728	The Top 10 Public Global Oil Producers In 2016	2016-08-26T19:59:00.000+00:00	http://www.forbes.com/sites/rrapier/2016/08/26/the-top-10-public-global-oil-producers-in-2016/?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix	The Top 10 Public Global Oil Producers In 2016
XOM	XOM:US	BBG000GZQ728	How Will Exxon Mobil's Production Progress In The Next Five Years?	2016-08-26T18:53:22.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rv5yT6vf05U/how-will-exxon-mobils-production-progress-in-the-next-five-years-cm670949	"Since mid 2014, commodity prices across the globe have been on a downhill spree, due to the mismatch between the demand and supply of commodities, particularly crude oil. Lower commodity prices have resulted in weak price realizations for oil"
XOM	XOM:US	BBG000GZQ728	Another big problem for Exxon and Big Oil	2016-08-26T18:10:47.000+00:00	http://finance.yahoo.com/tumblr/blog-another-big-problem-for-exxon-and-big-oil-181051302.html	Another big problem for Exxon and Big Oil
XOM	XOM:US	BBG000GZQ728	"Mylan, Trump and Tons of Huge Corporations Have Donated to the Clinton Foundation"	2016-08-26T17:30:00.000+00:00	https://www.thestreet.com/story/13686874/1/mylan-trump-and-tons-of-huge-corporations-have-donated-to-the-clinton-foundation.html?puc=yahoo&cm_ven=YAHOO	"Mylan, Trump and Tons of Huge Corporations Have Donated to the Clinton Foundation"
XOM	XOM:US	BBG000GZQ728	"XLE, XOM, CVX, SLB: Large Inflows Detected at ETF"	2016-08-26T16:28:19.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/C7hirxb-Nx0/xle-xom-cvx-slb-large-inflows-detected-at-etf-cm670775	"Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel , one standout is the Energy Select Sector SPDR Fund (Symbol XLE) where we have detected an approximate $501.2 million dollar"
XOM	XOM:US	BBG000GZQ728	"Declining inventories crimp U.S. Q2 growth, consumer spending surges"	2016-08-26T16:10:24.000+00:00	http://uk.finance.yahoo.com/news/declining-inventories-curb-u-second-130559262.html	"[Reuters - UK Focus] - The very slight downward revision to second-quarter GDP growth isn't too concerning, especially given that the more recent data point to a strong rebound in the third quarter, said Steve Murphy, an economist at Capital Economics in Toronto. While retail sales were weak in July, a buoyant labor market should continue to support consumer spending."
XOM	XOM:US	BBG000GZQ728	Yellen Says Case for Rate Hikes Is Growing Stronger	2016-08-26T15:37:00.000+00:00	https://www.thestreet.com/story/13686690/1/yellen-says-case-for-rate-hikes-is-growing-stronger.html?puc=yahoo&cm_ven=YAHOO	Yellen Says Case for Rate Hikes Is Growing Stronger
XOM	XOM:US	BBG000GZQ728	"U.S. Crude Slips on Supply Buildup, Fuel Stocks Rise Too"	2016-08-26T15:31:15.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_IlIZJlwRQM/us-crude-slips-on-supply-buildup-fuel-stocks-rise-too-cm670717	"The U.S. Energy Department's weekly inventory release showed that crude stockpiles recorded a large build. Worryingly, supplies at the Cushing, OK storage hub rose, too. On a further bearish note, the report revealed that refined product inventories"
XOM	XOM:US	BBG000GZQ728	3 Top Stocks For Retirees	2016-08-26T14:48:06.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XLX0gwQlY-4/3-top-stocks-for-retirees-cm670642	"Retirees can benefit from owning top tier stocks generating steady eddy income, but with thousands of stocks to choose from it can be tough figuring out which companies are best to include in portfolios. With that in"
XOM	XOM:US	BBG000GZQ728	History Never Looks Like History When You Are Living Through It	2016-08-26T13:46:30.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/V2ejX7WmqCg/history-never-looks-like-history-when-you-are-living-through-it-cm670170	By Tim Taschler A Negative Interest Rate World The FT reports that the value of negative yielding bonds both government and corporate swelled to $13.4 trillion this week as negative interest rates and central bank bond buying ripple through
XOM	XOM:US	BBG000GZQ728	"U.S. Crude Slips on Supply Buildup, Fuel Stocks Rise Too"	2016-08-26T13:39:01.000+00:00	http://finance.yahoo.com/news/u-crude-slips-supply-buildup-133901689.html	"U.S. Crude Slips on Supply Buildup, Fuel Stocks Rise Too"
XOM	XOM:US	BBG000GZQ728	"Tesoro Corporation (TSO) Ex-Dividend Date Scheduled for August 29, 2016"	2016-08-26T13:22:55.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/EEOD4RxHiDQ/tesoro-corporation-tso-ex-dividend-date-scheduled-for-august-29-2016-cm670572	"Tesoro Corporation ( TSO ) will begin trading ex dividend on August 29, 2016. A cash dividend payment of $0.55 per share is scheduled to be paid on September 15, 2016. Shareholders who purchased TSO prior to the ex"
XOM	XOM:US	BBG000GZQ728	3 Top Stocks For Retirees	2016-08-26T13:20:00.000+00:00	http://www.fool.com/investing/2016/08/26/3-top-stocks-for-retirees.aspx?source=yahoo-2&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2	3 Top Stocks For Retirees
XOM	XOM:US	BBG000GZQ728	On BizWireTV: Big Name Brands Join Louisiana Relief Effort and a Social Experiment Finds Americans Overwhelmingly Honest	2016-08-26T12:08:00.000+00:00	http://finance.yahoo.com/news/bizwiretv-big-name-brands-join-120800549.html	"[Business Wire] - On the latest BizWireTV, brands such as Walmart, ExxonMobil and Target, amongst many others, are joining in the relief effort for the historic Louisiana floods. While many are providing financial donations through organizations such as the American Red Cross, other companies are providing supplies and food."
XOM	XOM:US	BBG000GZQ728	On BizWireTV: Big Name Brands Join Louisiana Relief Effort and a Social Experiment Finds Americans Overwhelmingly Honest	2016-08-26T12:08:00.000+00:00	http://uk.finance.yahoo.com/news/bizwiretv-big-name-brands-join-120800065.html	On BizWireTV: Big Name Brands Join Louisiana Relief Effort and a Social Experiment Finds Americans Overwhelmingly Honest
XOM	XOM:US	BBG000GZQ728	"Energy Stocks, ETFs can Keep Surging"	2016-08-25T22:46:27.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/w_v2tNAkcR4/energy-stocks-etfs-can-keep-surging-cm669026	"The Energy Select Sector SPDR (NYSEArca  XLE ) , the largest equity based energy exchange traded fund, is higher by more than 18% year to date, but that does not mean there is a ceiling on"
XOM	XOM:US	BBG000GZQ728	OPEC's De Facto Leader Casts Doubt On OPEC Output Freeze	2016-08-25T21:07:35.000+00:00	http://www.investors.com/news/production-freeze-eyed-by-oil-producers-in-doubt-after-saudi-comments/	OPEC's De Facto Leader Casts Doubt On OPEC Output Freeze
XOM	XOM:US	BBG000GZQ728	"DJIA Dragged Lower by UnitedHealth, Nike on Thursday"	2016-08-25T20:01:53.000+00:00	http://247wallst.com/investing/2016/08/25/djia-dragged-lower-by-unitedhealth-nike-on-thursday/	"DJIA Dragged Lower by UnitedHealth, Nike on Thursday"
XOM	XOM:US	BBG000GZQ728	How Will Exxon Mobil's Revenue Move If Crude Oil Prices Rebound To $100 Per Barrel By 2018?	2016-08-25T18:47:04.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yUxyhsdiomM/how-will-exxon-mobils-revenue-move-if-crude-oil-prices-rebound-to-100-per-barrel-by-2018-cm670252	Have more questions about Exxon Mobil ( XOM )? See the links below   How Will Exxon Mobil's Revenue Move If Crude Oil Prices Average At $50 Per Barrel Until 2018?Should Investors Worry About Exxon Mobil's
XOM	XOM:US	BBG000GZQ728	How Will Exxon Mobil's Revenue Change If Crude Oil Prices Average $50 Per Barrel Until 2018?	2016-08-25T18:46:32.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-3GD0K1DcDI/how-will-exxon-mobils-revenue-change-if-crude-oil-prices-average-50-per-barrel-until-2018-cm670248	Have more questions about Exxon Mobil ( XOM )? See the links below   How Will Exxon Mobil's Revenue Move If Crude Oil Prices Rebound To $100 Per Barrel By 2018?Should Investors Worry About Exxon Mobil's
